,orig_label,pred_label
0,17,58
1,22,22
2,78,78
3,46,93
4,106,106
5,29,29
6,68,68
7,42,42
8,62,62
9,40,40
10,20,20
11,114,114
12,70,70
13,84,129
14,65,65
15,34,65
16,38,38
17,18,18
18,94,94
19,90,90
20,84,84
21,59,59
22,77,77
23,100,99
24,53,53
25,43,43
26,62,62
27,29,29
28,27,27
29,127,127
30,85,85
31,127,15
0,16,16
1,105,105
2,59,59
3,14,14
4,36,36
5,81,84
6,33,33
7,68,119
8,11,11
9,94,94
10,85,85
11,18,18
12,116,116
13,92,92
14,119,119
15,3,3
16,102,102
17,57,57
18,36,36
19,57,57
20,22,22
21,94,94
22,109,109
23,85,85
24,72,72
25,68,69
26,49,39
27,56,56
28,24,24
29,85,34
30,43,102
31,97,97
0,84,84
1,63,63
2,77,77
3,7,7
4,63,114
5,7,26
6,40,40
7,72,72
8,90,90
9,24,24
10,61,61
11,131,131
12,57,57
13,122,122
14,107,107
15,59,59
16,100,100
17,5,78
18,113,113
19,106,29
20,37,98
21,85,85
22,56,56
23,42,42
24,3,3
25,21,21
26,31,31
27,110,106
28,64,11
29,14,14
30,74,74
31,11,59
0,7,7
1,23,23
2,71,71
3,7,7
4,9,9
5,82,82
6,98,98
7,12,12
8,75,75
9,5,5
10,29,29
11,116,116
12,12,22
13,35,35
14,7,26
15,19,2
16,98,48
17,47,47
18,22,22
19,114,114
20,32,32
21,35,35
22,55,55
23,40,39
24,106,106
25,52,52
26,26,26
27,115,115
28,81,100
29,32,73
30,53,53
31,27,55
0,123,123
1,110,110
2,86,86
3,42,42
4,28,28
5,62,62
6,4,4
7,46,46
8,50,50
9,12,110
10,88,88
11,76,76
12,86,86
13,91,91
14,70,70
15,56,56
16,51,51
17,13,13
18,66,66
19,62,62
20,117,117
21,22,22
22,108,108
23,103,103
24,28,28
25,101,101
26,53,117
27,4,53
28,9,17
29,99,52
30,111,111
31,80,29
0,89,89
1,38,38
2,13,13
3,4,4
4,31,31
5,37,0
6,109,117
7,114,55
8,2,2
9,45,45
10,14,14
11,92,92
12,94,94
13,23,23
14,53,53
15,48,55
16,76,76
17,115,115
18,40,40
19,56,56
20,103,35
21,14,14
22,67,67
23,0,0
24,23,23
25,95,128
26,69,69
27,90,90
28,87,87
29,14,14
30,20,20
31,95,95
0,30,30
1,51,51
2,115,7
3,109,109
4,0,0
5,5,78
6,105,105
7,67,67
8,113,113
9,31,31
10,128,128
11,17,17
12,73,73
13,66,122
14,87,92
15,72,72
16,41,41
17,96,96
18,59,59
19,28,28
20,112,112
21,17,8
22,62,56
23,18,18
24,70,102
25,110,110
26,29,29
27,67,67
28,65,65
29,32,32
30,111,111
31,83,83
0,47,13
1,37,37
2,78,78
3,100,100
4,116,86
5,103,103
6,56,56
7,94,94
8,30,45
9,92,92
10,57,57
11,70,70
12,100,100
13,125,125
14,47,47
15,109,109
16,20,20
17,86,86
18,31,31
19,16,16
20,102,102
21,43,105
22,6,38
23,16,16
24,128,128
25,3,4
26,107,107
27,116,113
28,74,74
29,68,68
30,86,86
31,6,6
0,104,104
1,24,24
2,49,49
3,56,56
4,55,58
5,71,71
6,109,109
7,113,113
8,104,104
9,74,10
10,37,37
11,71,121
12,23,23
13,26,26
14,107,42
15,100,100
16,98,62
17,87,87
18,110,28
19,103,103
20,40,102
21,46,46
22,31,31
23,37,37
24,78,78
25,75,75
26,1,1
27,48,48
28,37,96
29,9,9
30,53,53
31,122,122
0,12,12
1,6,31
2,8,124
3,70,70
4,42,42
5,114,114
6,21,21
7,79,64
8,79,64
9,116,116
10,110,50
11,66,66
12,53,11
13,30,30
14,9,9
15,103,103
16,111,75
